Electors of President and Vice-President of the United States (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,
,,Joseph R. Biden/Kamala D. Harris,,,Donald J. Trump/Michael R. Pence,,,Jo Jorgensen/Jeremy Cohen,,,Don Blankenship/William Mohr,,,Howie Hawkins/Angela Walker,,,Rocky De La Fuente/Darcy Richardson,,,Rejected write-ins,,,Unassigned write-ins,,,
Precinct,Registered Voters,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Total
"Addison Township, Precinct 1",1930,344,95,439,530,593,1123,10,9,19,1,0,1,1,1,2,1,0,1,0,0,0,0,1,1,1586
"Addison Township, Precinct 2",1937,407,77,484,606,490,1096,10,7,17,0,0,0,4,0,4,1,0,1,0,0,0,2,2,4,1606
"Addison Township, Precinct 3",1379,274,62,336,323,390,713,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1061
"Bloomfield Township, Precinct 1",1758,563,122,685,353,264,617,4,2,6,0,0,0,0,2,2,1,0,1,0,0,0,3,0,3,1314
"Bloomfield Township, Precinct 2",2330,859,240,1099,414,296,710,8,6,14,0,0,0,2,5,7,1,1,2,0,0,0,1,2,3,1835
"Bloomfield Township, Precinct 3",2215,820,211,1031,346,239,585,8,1,9,4,2,6,1,1,2,0,0,0,0,0,0,4,1,5,1638
"Bloomfield Township, Precinct 4",1571,572,121,693,326,231,557,6,3,9,0,0,0,1,0,1,0,0,0,0,0,0,3,2,5,1265
"Bloomfield Township, Precinct 5",2316,819,261,1080,398,364,762,6,6,12,5,0,5,3,3,6,0,0,0,0,0,0,3,0,3,1868
"Bloomfield Township, Precinct 6",2096,695,160,855,523,310,833,3,3,6,0,0,0,2,2,4,0,0,0,0,0,0,5,0,5,1703
"Bloomfield Township, Precinct 7",2262,747,176,923,477,448,925,10,8,18,1,0,1,1,0,1,0,0,0,0,0,0,3,2,5,1873
"Bloomfield Township, Precinct 8",2115,836,117,953,498,205,703,15,2,17,1,0,1,1,1,2,0,0,0,0,0,0,3,2,5,1681
"Bloomfield Township, Precinct 9",2433,867,134,1001,573,349,922,9,8,17,3,0,3,4,0,4,0,1,1,0,0,0,7,0,7,1955
"Bloomfield Township, Precinct 10",1845,684,135,819,385,291,676,10,2,12,1,0,1,0,0,0,0,0,0,0,0,0,3,2,5,1513
"Bloomfield Township, Precinct 11",1415,596,74,670,304,187,491,4,3,7,1,0,1,1,1,2,0,0,0,0,0,0,1,2,3,1174
"Bloomfield Township, Precinct 12",2019,858,102,960,441,263,704,2,3,5,2,0,2,1,0,1,0,0,0,0,0,0,3,1,4,1676
"Bloomfield Township, Precinct 13",1879,783,134,917,297,267,564,9,8,17,0,1,1,0,4,4,1,0,1,0,0,0,2,4,6,1510
"Bloomfield Township, Precinct 14",1760,782,135,917,295,205,500,4,2,6,4,0,4,1,0,1,0,0,0,0,0,0,0,1,1,1429
"Bloomfield Township, Precinct 15",2742,952,174,1126,622,382,1004,5,4,9,3,0,3,1,0,1,0,0,0,0,0,0,2,5,7,2150
"Bloomfield Township, Precinct 16",3161,1028,168,1196,843,538,1381,23,8,31,0,0,0,2,1,3,0,0,0,0,0,0,6,0,6,2617
"Bloomfield Township, Precinct 17",2348,1106,160,1266,379,262,641,10,3,13,3,0,3,1,1,2,0,0,0,0,0,0,3,0,3,1928
"Bloomfield Township, Precinct 18",2188,780,169,949,506,350,856,7,5,12,0,0,0,0,2,2,0,0,0,0,0,0,3,2,5,1824
"Brandon Township, Precinct 1",2351,427,153,580,436,728,1164,8,11,19,1,0,1,2,1,3,0,0,0,0,0,0,4,3,7,1774
"Brandon Township, Precinct 2",2523,493,183,676,521,708,1229,13,14,27,0,1,1,3,0,3,0,0,0,0,0,0,0,2,2,1938
"Brandon Township, Precinct 3",2620,456,225,681,503,864,1367,10,14,24,0,2,2,1,2,3,0,0,0,0,0,0,8,4,12,2089
"Brandon Township, Precinct 4",2937,551,179,730,597,907,1504,12,19,31,2,0,2,2,2,4,0,0,0,0,0,0,5,2,7,2278
"Brandon Township, Precinct 5",1799,157,216,373,79,427,506,4,12,16,0,0,0,1,3,4,0,0,0,0,0,0,3,0,3,902
"Brandon Township, Precinct 6",1169,185,133,318,150,362,512,3,6,9,0,2,2,1,1,2,1,0,1,0,0,0,0,0,0,844
"Commerce Township, Precinct 1",2391,576,160,736,564,552,1116,14,10,24,0,0,0,0,2,2,0,0,0,0,0,0,2,1,3,1881
"Commerce Township, Precinct 2",2585,636,173,809,527,507,1034,10,5,15,1,0,1,3,6,9,0,0,0,0,0,0,2,4,6,1874
"Commerce Township, Precinct 3",2658,897,171,1068,565,394,959,5,2,7,2,0,2,2,1,3,0,0,0,0,0,0,3,0,3,2042
"Commerce Township, Precinct 4",2534,634,183,817,518,576,1094,13,5,18,1,0,1,2,3,5,0,0,0,0,0,0,3,0,3,1938
"Commerce Township, Precinct 5",2754,690,140,830,646,560,1206,9,5,14,0,1,1,3,1,4,0,0,0,0,0,0,1,0,1,2056
"Commerce Township, Precinct 6",2047,535,161,696,382,455,837,10,8,18,2,0,2,1,3,4,0,0,0,0,0,0,0,0,0,1557
"Commerce Township, Precinct 7",2450,703,113,816,698,482,1180,18,7,25,0,0,0,2,3,5,2,0,2,0,0,0,1,1,2,2030
"Commerce Township, Precinct 8",2651,733,151,884,708,554,1262,15,3,18,3,0,3,3,2,5,0,0,0,0,0,0,6,4,10,2182
"Commerce Township, Precinct 9",2886,804,238,1042,650,641,1291,17,9,26,1,0,1,7,1,8,2,0,2,0,0,0,0,0,0,2370
"Commerce Township, Precinct 10",2375,638,175,813,513,478,991,5,5,10,0,1,1,3,1,4,1,2,3,0,0,0,3,3,6,1828
"Commerce Township, Precinct 11",2714,793,187,980,592,490,1082,13,8,21,2,0,2,5,0,5,1,0,1,0,0,0,2,1,3,2094
"Commerce Township, Precinct 12",1492,340,153,493,250,359,609,4,6,10,0,1,1,3,1,4,0,0,0,0,0,0,0,3,3,1120
"Commerce Township, Precinct 13",2614,718,212,930,544,507,1051,11,6,17,2,0,2,3,6,9,1,0,1,0,0,0,5,2,7,2017
"Commerce Township, Precinct 14",1981,349,196,545,186,441,627,5,7,12,2,0,2,2,2,4,0,0,0,0,0,0,0,1,1,1191
"Commerce Township, Precinct 15",2047,494,166,660,426,492,918,6,10,16,6,1,7,1,0,1,1,0,1,0,0,0,2,1,3,1606
"Groveland Township, Precinct 1",1295,224,74,298,289,416,705,6,7,13,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1019
"Groveland Township, Precinct 2",1901,309,114,423,324,528,852,4,10,14,0,0,0,1,1,2,0,1,1,0,0,0,1,2,3,1295
"Groveland Township, Precinct 3",1749,322,112,434,436,520,956,15,10,25,1,1,2,1,1,2,1,0,1,0,0,0,1,0,1,1421
"Highland Township, Precinct 1",2980,682,130,812,849,651,1500,15,16,31,4,0,4,2,1,3,1,0,1,0,0,0,1,1,2,2353
"Highland Township, Precinct 2",2369,426,133,559,575,627,1202,12,11,23,2,1,3,4,0,4,1,0,1,0,0,0,0,2,2,1794
"Highland Township, Precinct 3",1793,308,110,418,313,356,669,11,6,17,0,1,1,2,1,3,0,0,0,0,0,0,1,2,3,1111
"Highland Township, Precinct 4",2497,657,138,795,589,560,1149,14,6,20,0,0,0,7,3,10,0,0,0,0,0,0,2,0,2,1976
"Highland Township, Precinct 5",1482,337,95,432,378,425,803,3,4,7,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,1245
"Highland Township, Precinct 6",2173,467,118,585,540,592,1132,11,10,21,0,1,1,1,3,4,1,0,1,0,0,0,2,3,5,1749
"Highland Township, Precinct 7",1525,269,125,394,342,441,783,6,7,13,1,1,2,1,1,2,1,0,1,0,0,0,0,0,0,1195
"Highland Township, Precinct 8",1656,431,97,528,401,335,736,10,5,15,2,1,3,0,2,2,1,0,1,0,0,0,3,2,5,1290
"Holly Township, Precinct 1",2660,473,234,707,310,622,932,4,25,29,1,2,3,1,2,3,0,0,0,0,0,0,2,3,5,1679
"Holly Township, Precinct 2",2252,418,213,631,291,562,853,3,17,20,2,3,5,4,2,6,0,1,1,0,0,0,2,3,5,1521
"Holly Township, Precinct 3",2438,454,180,634,421,741,1162,10,9,19,0,0,0,2,2,4,0,1,1,0,0,0,1,2,3,1823
"Holly Township, Precinct 4",2614,571,205,776,499,660,1159,5,10,15,3,2,5,4,2,6,2,1,3,0,0,0,0,0,0,1964
"Independence Township, Precinct 1",2849,739,138,877,694,712,1406,12,12,24,3,3,6,3,2,5,0,0,0,0,0,0,2,2,4,2322
"Independence Township, Precinct 2",2125,528,143,671,522,517,1039,20,4,24,0,0,0,4,3,7,0,0,0,0,0,0,3,1,4,1745
"Independence Township, Precinct 3",2260,600,114,714,630,481,1111,17,13,30,0,1,1,0,0,0,0,0,0,0,0,0,3,1,4,1860
"Independence Township, Precinct 4",2149,558,117,675,600,477,1077,25,7,32,1,0,1,2,0,2,0,0,0,0,0,0,3,2,5,1792
"Independence Township, Precinct 5",2579,697,165,862,682,563,1245,7,14,21,3,0,3,1,4,5,1,0,1,0,0,0,3,2,5,2142
"Independence Township, Precinct 6",2419,669,201,870,521,546,1067,8,12,20,1,0,1,4,2,6,0,0,0,0,0,0,1,1,2,1966
"Independence Township, Precinct 7",2637,776,223,999,630,467,1097,13,13,26,1,0,1,1,1,2,0,0,0,0,0,0,2,2,4,2129
"Independence Township, Precinct 8",1968,540,99,639,540,446,986,9,6,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1642
"Independence Township, Precinct 9",2577,654,173,827,632,660,1292,7,18,25,1,2,3,3,0,3,0,1,1,0,0,0,1,1,2,2153
"Independence Township, Precinct 10",2599,464,231,695,366,597,963,14,12,26,3,0,3,5,3,8,2,1,3,0,0,0,0,2,2,1700
"Independence Township, Precinct 11",2861,595,201,796,596,691,1287,13,14,27,2,1,3,4,4,8,0,0,0,0,0,0,3,4,7,2128
"Independence Township, Precinct 12",1194,287,114,401,238,286,524,6,4,10,0,1,1,2,1,3,1,0,1,0,0,0,1,3,4,944
"Independence Township, Precinct 13",1931,463,162,625,464,370,834,9,12,21,0,2,2,5,0,5,0,0,0,0,0,0,3,2,5,1492
"Lyon Township, Precinct 1",2532,689,152,841,597,504,1101,10,9,19,1,0,1,3,2,5,1,0,1,0,0,0,0,1,1,1969
"Lyon Township, Precinct 2",535,151,26,177,140,116,256,0,1,1,3,0,3,1,0,1,0,0,0,0,0,0,1,0,1,439
"Lyon Township, Precinct 3",2577,622,164,786,575,476,1051,17,5,22,0,0,0,1,4,5,1,0,1,0,0,0,2,0,2,1867
"Lyon Township, Precinct 4",2009,452,169,621,451,478,929,13,6,19,0,0,0,2,4,6,0,0,0,0,0,0,1,0,1,1576
"Lyon Township, Precinct 5",2302,676,119,795,711,394,1105,16,5,21,1,0,1,1,1,2,0,0,0,0,0,0,4,6,10,1934
"Lyon Township, Precinct 6",3268,916,208,1124,982,682,1664,22,4,26,0,1,1,3,1,4,2,0,2,0,0,0,5,1,6,2827
"Lyon Township, Precinct 7",468,169,38,207,108,71,179,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,390
"Lyon Township, Precinct 8",508,131,43,174,116,147,263,3,4,7,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,448
"Lyon Township, Precinct 9",2195,713,174,887,480,495,975,16,8,24,0,1,1,3,3,6,1,0,1,0,0,0,3,0,3,1897
"Milford Township, Precinct 1",1880,463,133,596,533,428,961,8,4,12,0,2,2,0,0,0,0,1,1,0,0,0,1,1,2,1574
"Milford Township, Precinct 2",1958,318,127,445,315,434,749,6,9,15,0,0,0,1,0,1,0,1,1,0,0,0,3,0,3,1214
"Milford Township, Precinct 3",1995,515,112,627,545,426,971,5,4,9,1,0,1,2,2,4,0,0,0,0,0,0,1,0,1,1613
"Milford Township, Precinct 4",1565,410,75,485,404,343,747,8,10,18,1,0,1,3,1,4,1,1,2,0,0,0,3,1,4,1261
"Milford Township, Precinct 5",1610,453,89,542,425,298,723,13,8,21,1,1,2,1,2,3,0,0,0,0,0,0,2,0,2,1293
"Milford Township, Precinct 6",1857,618,143,761,392,320,712,5,7,12,1,0,1,1,0,1,0,0,0,0,0,0,2,2,4,1491
"Milford Township, Precinct 7",2252,731,173,904,439,442,881,12,7,19,2,1,3,4,2,6,0,0,0,0,0,0,1,2,3,1816
"Milford Township, Precinct 8",1475,431,148,579,317,262,579,2,12,14,1,0,1,4,0,4,0,0,0,0,0,0,2,1,3,1180
"Novi Township, Precinct 1",138,0,63,63,0,54,54,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,121
"Oakland Township, Precinct 1",1976,594,127,721,512,445,957,7,3,10,0,0,0,2,0,2,1,1,2,0,0,0,2,1,3,1695
"Oakland Township, Precinct 2",2305,545,172,717,442,637,1079,5,10,15,1,1,2,3,1,4,0,1,1,0,0,0,3,2,5,1823
"Oakland Township, Precinct 3",1201,285,86,371,315,355,670,1,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1048
"Oakland Township, Precinct 4",1646,410,113,523,497,342,839,3,9,12,0,0,0,3,0,3,0,0,0,0,0,0,3,1,4,1381
"Oakland Township, Precinct 5",2108,767,144,911,496,346,842,13,5,18,3,0,3,4,3,7,0,0,0,0,0,0,1,1,2,1783
"Oakland Township, Precinct 6",2281,540,135,675,620,533,1153,11,7,18,0,0,0,2,1,3,0,1,1,0,0,0,2,1,3,1853
"Oakland Township, Precinct 7",2701,729,144,873,801,499,1300,11,2,13,0,0,0,2,0,2,0,0,0,0,0,0,4,0,4,2192
"Oakland Township, Precinct 8",1596,448,102,550,402,377,779,8,5,13,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,1345
"Orion Township, Precinct 1",2163,474,217,691,356,573,929,16,11,27,3,3,6,3,0,3,0,0,0,0,0,0,1,3,4,1660
"Orion Township, Precinct 2",2414,527,194,721,444,573,1017,12,14,26,4,2,6,6,4,10,2,0,2,0,0,0,0,2,2,1784
"Orion Township, Precinct 3",2083,522,146,668,520,470,990,16,5,21,1,0,1,1,1,2,1,0,1,0,0,0,3,1,4,1687
"Orion Township, Precinct 4",2356,567,151,718,579,586,1165,15,12,27,1,1,2,0,4,4,0,0,0,0,0,0,1,4,5,1921
"Orion Township, Precinct 5",2370,663,180,843,490,561,1051,17,10,27,0,0,0,4,2,6,0,0,0,0,0,0,3,0,3,1930
"Orion Township, Precinct 6",1870,537,140,677,461,372,833,9,12,21,1,0,1,2,1,3,0,1,1,0,0,0,0,1,1,1537
"Orion Township, Precinct 7",2164,503,212,715,348,513,861,10,11,21,2,0,2,1,3,4,0,1,1,0,0,0,0,1,1,1605
"Orion Township, Precinct 8",1915,588,140,728,406,374,780,14,8,22,0,0,0,3,1,4,0,0,0,0,0,0,3,0,3,1537
"Orion Township, Precinct 9",2511,765,198,963,541,476,1017,19,16,35,1,0,1,2,0,2,0,1,1,0,0,0,4,0,4,2023
"Orion Township, Precinct 10",1728,439,178,617,329,380,709,12,7,19,1,0,1,3,2,5,0,0,0,0,0,0,2,3,5,1356
"Orion Township, Precinct 11",1398,324,120,444,276,329,605,7,9,16,1,0,1,1,2,3,0,0,0,0,0,0,0,1,1,1070
"Orion Township, Precinct 12",2160,507,225,732,331,512,843,12,10,22,1,1,2,1,1,2,1,1,2,0,0,0,1,1,2,1605
"Orion Township, Precinct 13",2128,543,186,729,385,460,845,22,16,38,0,1,1,3,0,3,0,0,0,0,0,0,3,1,4,1620
"Orion Township, Precinct 14",1381,392,131,523,232,340,572,6,10,16,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1113
"Orion Township, Precinct 15",2189,570,187,757,373,407,780,4,6,10,0,1,1,2,1,3,0,0,0,0,0,0,1,1,2,1553
"Oxford Township, Precinct 1",2775,658,217,875,587,569,1156,16,9,25,1,0,1,2,2,4,0,0,0,0,0,0,0,2,2,2063
"Oxford Township, Precinct 2",2468,424,161,585,454,517,971,11,13,24,2,1,3,4,1,5,1,0,1,0,0,0,3,2,5,1594
"Oxford Township, Precinct 3",2804,667,185,852,657,679,1336,28,13,41,3,3,6,4,2,6,0,0,0,0,0,0,2,2,4,2245
"Oxford Township, Precinct 4",2599,564,175,739,665,647,1312,11,16,27,2,1,3,4,1,5,0,2,2,0,0,0,3,2,5,2093
"Oxford Township, Precinct 5",1985,421,148,569,361,455,816,6,9,15,1,0,1,1,3,4,0,0,0,0,0,0,3,4,7,1412
"Oxford Township, Precinct 6",2371,476,113,589,628,645,1273,18,9,27,1,0,1,4,0,4,0,0,0,0,0,0,1,0,1,1895
"Oxford Township, Precinct 7",2786,752,149,901,709,662,1371,12,9,21,1,0,1,2,1,3,2,0,2,0,0,0,2,1,3,2302
"Rose Township, Precinct 1",1432,303,98,401,283,416,699,5,7,12,0,1,1,1,0,1,0,3,3,0,0,0,0,0,0,1117
"Rose Township, Precinct 2",1904,367,91,458,428,524,952,9,4,13,2,0,2,1,1,2,0,1,1,0,0,0,3,0,3,1431
"Rose Township, Precinct 3",2014,395,107,502,479,539,1018,6,6,12,2,0,2,1,3,4,0,0,0,0,0,0,1,0,1,1539
"Royal Oak Township, Precinct 1",1505,417,307,724,5,28,33,0,1,1,0,0,0,2,2,4,0,2,2,0,0,0,0,4,4,768
"Royal Oak Township, Precinct 2",1143,354,282,636,4,10,14,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,654
"Southfield Township, Precinct 1",961,372,157,529,108,155,263,6,4,10,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,804
"Southfield Township, Precinct 2",1130,453,145,598,142,181,323,2,2,4,0,0,0,1,1,2,0,0,0,0,0,0,0,4,4,931
"Southfield Township, Precinct 3",901,364,132,496,118,156,274,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,779
"Southfield Township, Precinct 4",1357,522,181,703,206,248,454,5,7,12,0,0,0,0,1,1,1,1,2,0,0,0,2,1,3,1175
"Southfield Township, Precinct 5",1450,614,206,820,215,155,370,5,6,11,0,0,0,0,0,0,1,1,2,0,0,0,2,2,4,1207
"Southfield Township, Precinct 6",2151,863,236,1099,369,329,698,2,11,13,0,0,0,3,0,3,1,0,1,0,0,0,4,1,5,1819
"Southfield Township, Precinct 7",1173,407,128,535,218,200,418,8,4,12,1,0,1,0,0,0,0,0,0,0,0,0,2,2,4,970
"Southfield Township, Precinct 8",1529,676,200,876,221,198,419,4,5,9,0,1,1,0,0,0,1,1,2,0,0,0,0,4,4,1311
"Southfield Township, Precinct 9",1337,552,155,707,177,199,376,5,8,13,0,1,1,0,2,2,0,0,0,0,0,0,2,1,3,1102
"Southfield Township, Precinct 10",1041,399,92,491,224,144,368,4,6,10,1,0,1,2,0,2,0,1,1,0,0,0,2,1,3,876
"Springfield Township, Precinct 1",1694,385,108,493,358,497,855,6,5,11,0,2,2,1,0,1,0,0,0,0,0,0,2,1,3,1365
"Springfield Township, Precinct 2",2001,372,160,532,302,566,868,4,9,13,0,0,0,0,3,3,0,0,0,0,0,0,1,1,2,1418
"Springfield Township, Precinct 3",2260,451,139,590,498,646,1144,16,13,29,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,1766
"Springfield Township, Precinct 4",1581,379,107,486,299,424,723,5,6,11,2,0,2,2,2,4,0,0,0,0,0,0,3,2,5,1231
"Springfield Township, Precinct 5",1928,480,103,583,478,511,989,9,5,14,1,0,1,0,2,2,0,0,0,0,0,0,3,0,3,1592
"Springfield Township, Precinct 6",1773,469,136,605,397,453,850,8,5,13,1,2,3,1,1,2,0,0,0,0,0,0,1,0,1,1474
"Springfield Township, Precinct 7",984,206,65,271,210,301,511,4,12,16,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,801
"Waterford Township, Precinct 1",984,258,46,304,244,206,450,8,3,11,0,0,0,1,2,3,0,0,0,0,0,0,1,0,1,769
"Waterford Township, Precinct 2",3117,772,188,960,708,592,1300,17,16,33,9,1,10,6,1,7,3,0,3,0,0,0,2,4,6,2319
"Waterford Township, Precinct 3",2991,707,189,896,516,652,1168,9,18,27,1,2,3,1,4,5,0,0,0,0,0,0,3,3,6,2105
"Waterford Township, Precinct 4",2856,620,173,793,644,613,1257,12,7,19,3,1,4,0,1,1,0,0,0,0,0,0,1,1,2,2076
"Waterford Township, Precinct 5",3213,829,212,1041,687,699,1386,12,14,26,2,1,3,4,3,7,1,1,2,0,0,0,3,2,5,2470
"Waterford Township, Precinct 6",2955,724,191,915,568,633,1201,19,5,24,1,1,2,4,3,7,1,1,2,0,0,0,2,1,3,2154
"Waterford Township, Precinct 7",3076,687,240,927,514,643,1157,8,14,22,1,0,1,1,2,3,1,0,1,0,0,0,2,1,3,2114
"Waterford Township, Precinct 8",2852,655,172,827,602,519,1121,16,15,31,6,0,6,1,3,4,1,2,3,0,0,0,4,0,4,1996
"Waterford Township, Precinct 9",2913,752,191,943,635,542,1177,15,2,17,2,2,4,2,3,5,0,0,0,0,0,0,7,0,7,2153
"Waterford Township, Precinct 10",1674,447,90,537,400,311,711,10,9,19,3,0,3,1,0,1,1,0,1,0,0,0,0,1,1,1273
"Waterford Township, Precinct 11",2971,712,273,985,440,466,906,13,10,23,4,2,6,6,2,8,0,0,0,0,0,0,0,2,2,1930
"Waterford Township, Precinct 12",3016,779,227,1006,617,491,1108,6,13,19,7,0,7,9,3,12,1,0,1,0,0,0,2,1,3,2156
"Waterford Township, Precinct 13",3111,740,235,975,493,648,1141,14,14,28,2,0,2,2,3,5,1,1,2,0,0,0,2,2,4,2157
"Waterford Township, Precinct 14",3024,689,290,979,415,446,861,11,6,17,2,1,3,3,1,4,1,0,1,0,0,0,1,3,4,1869
"Waterford Township, Precinct 15",3128,834,305,1139,373,512,885,15,13,28,2,1,3,5,5,10,1,1,2,0,0,0,2,1,3,2070
"Waterford Township, Precinct 16",3312,791,232,1023,655,725,1380,15,15,30,2,0,2,3,1,4,1,0,1,0,0,0,5,1,6,2446
"Waterford Township, Precinct 17",3039,749,257,1006,556,547,1103,13,21,34,0,0,0,3,3,6,0,0,0,0,0,0,3,0,3,2152
"Waterford Township, Precinct 18",2479,684,189,873,455,471,926,6,11,17,2,1,3,1,1,2,0,1,1,0,0,0,4,2,6,1828
